,Created At,Text,Geo Coordinates.latitude,Geo Coordinates.longitude,User Location,Username,User Screen Name,Retweet Count,Classificacao,Observação,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
99,Wed Jan 04 19:06:55 +0000 2017,#operacaobetalab BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/W6AoFMMsvA #rt #sdv,,,,Sandra Tim Beta,sandrabeta0,0,Negativo,,,,,,,,,,,,,,,,
101,Wed Jan 04 19:15:01 +0000 2017,"#petralha no governo é isso ai! Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros https://t.co/ZR9N6Gl0KW",,,Salvador - BA,Edvaldo Couto,edvaldoscouto,0,Negativo,,,,,,,,,,,,,,,,
102,Wed Jan 04 21:25:23 +0000 2017,#pmdb #pt #tj #tjmg #almg #psdb #pdt O FILHO ACHOU O OUTRO VELHO Em calamidade financeira MG compra 2 helicópteros https://t.co/SXfamLNCqd,,,BRAZIL,Que que é isto,quequeeisto,1,Negativo,,,,,,,,,,,,,,,,
104,Wed Jan 04 21:19:46 +0000 2017,"#pt #pmdb #pdt #tj #tjmg #stf #almg #pp MAIS UMA DELE ... #BB cobra de Minas R$ 1,5 bilhão em depósitos judiciais https://t.co/yPWflY0U5f",,,BRAZIL,Que que é isto,quequeeisto,0,Negativo,,,,,,,,,,,,,,,,
112,Wed Jan 04 23:10:32 +0000 2017,#timbeta #globo BB cobra restituição de recursos por parte do governo de MG; estado afirma que instituição criou 'artifício contábil' …,,,,Hugo TIMBETA,Hugotim1,0,Negativo,,,,,,,,,,,,,,,,
120,Thu Jan 05 21:40:24 +0000 2017,#timbeta #globo Prefeito de Aimorés decreta estado de emergência administrativa https://t.co/0Z7GX9GBPM #OperacaoBetaLab #Sigodevolta,,,,Hugo TIMBETA,Hugotim1,1,Negativo,,,,,,,,,,,,,,,,
121,Mon Jan 09 13:46:06 +0000 2017,#timbeta #globo Prefeito de Ribeirão das Neves decreta estado de calamidade financeira https://t.co/cyvkfwwslD #OperacaoBetaLab #Sigodevol…,,,,Hugo TIMBETA,Hugotim1,0,Negativo,,,,,,,,,,,,,,,,
122,Fri Jan 06 22:00:55 +0000 2017,#timbeta #globo Prefeitura de Uberlândia decreta estado de calamidade financeira  https://t.co/whTppNXDOk #OperacaoBetaLab #Sigodevolta,,,,Hugo TIMBETA,Hugotim1,0,Negativo,,,,,,,,,,,,,,,,
129,Wed Jan 04 21:09:11 +0000 2017,@1chathais Também não acreditei. O Estado de Minas pulicou que estão estudando implantar uma unidade,,,Divinópolis/S. Seb.Paraíso/BH ,Diego Souza,diegotsouza_,0,Negativo,,,,,,,,,,,,,,,,
130,Wed Jan 04 19:39:39 +0000 2017,@50Rosanaborges @folha @UOL já é o pior governador da história de Minas.,,,,Lílian,Lorensofie,0,Negativo,,,,,,,,,,,,,,,,
132,Wed Jan 04 20:16:13 +0000 2017,"@AcordouAcordou Minas está linda, recheada de mineiros e mineiras gente boa, o problema é o governo de MG.",,,Belo Horizonte,Cássia Gontijo,cassiagontijo,1,Negativo,,,,,,,,,,,,,,,,
135,Sat Jan 07 22:32:51 +0000 2017,@AlbertoLage @rebeldescalca @YouTube quero ver a desculpa quando ele ganhar uma boquinha no governo de Minas,,,MG-Brasil,mineirinho,aristotelesc_,0,Negativo,,,,,,,,,,,,,,,,
146,Thu Jan 05 13:26:29 +0000 2017,@beppo22 Risco de calote de Estados com a União cresce - Politica - Estado de Minas https://t.co/zdjOcATDo3,,,,#AntonioGramsci,gramscista,0,Negativo,,,,,,,,,,,,,,,,
149,Fri Jan 06 11:25:50 +0000 2017,@cartacapital e em minas governador usa helicóptero do governo para buscar filho em festa,,,,Filipe Miranda,Fmirandinha,0,Negativo,,,,,,,,,,,,,,,,
152,Wed Jan 04 22:28:52 +0000 2017,@charlesbigfoot @DecaRGarcia @Poder_360 Concordo plenamente. Já trabalhei no governo de MG e vi isso de perto.,,,São Paulo,Felipe Autran,felipe_autran,0,Negativo,,,,,,,,,,,,,,,,
158,Thu Jan 05 13:30:29 +0000 2017,@danilo12mf @pires_magela  ele ja saiu seu mineiro filha da puta menor de minas chupaaa estado de merda ..só tem lixo nessa porra,,,,ⓟลямэяเร†ล�❶❾❶❹,Parmerista93,0,Negativo,,,,,,,,,,,,,,,,
159,Sun Jan 08 09:52:32 +0000 2017,"@DCM_online Newton Cardoso Junior é da pior estirpe de politicos mineiros. Um golpista e desonesto, herança do pai, ex-governador de Minas.!",,,,Welington Almeida,weingtonpa1,0,Negativo,,,,,,,,,,,,,,,,
161,Wed Jan 04 20:55:37 +0000 2017,@deivaolm @Ary_AntiPT @c0nvey Antes ou depois de o governo de MG comprar 2 helicópteros?,,, ,Isaias Junqueira,Ijunqsouza,0,Negativo,,,,,,,,,,,,,,,,
174,Sun Jan 08 11:00:51 +0000 2017,"@eumateus75 @Morro_Cristo @JanainaDoBrasil @ptnacional @ptbrasiI Em MG, a criminalidade aumentou com o PT https://t.co/3E7sdl1UsT",,,"iPhone: -23.591980,-46.649139",Lavoisier castro,_Lavoisier,0,Negativo,,,,,,,,,,,,,,,,
178,Sun Jan 08 18:53:34 +0000 2017,@folha - E daí? O palhaço de Minas voou trocentas vezes no helicóptero do ESTADO para namorar em Florianópolis e a imprensa não deu um PIO.,,,BH - Brasil,Mijaíl Serguéyevich,HellraiserOrcus,0,Negativo,,,,,,,,,,,,,,,,
179,Wed Jan 04 19:23:48 +0000 2017,@folha esse lixo petista quebrou o estado de Minas Gerais mais uma vez! seu lugar é um só..,,,"Campinas, São Paulo",Alfredo,ealfred,0,Negativo,,,,,,,,,,,,,,,,
188,Wed Jan 04 20:46:27 +0000 2017,@GPronaldo13 Com um GOVERNADOR desse! Qualquer CORRUPTO vai querer ser CANDIDATO EM MG! Até as FACÇÕES do lula BÊBADO,,,São Paulo,Elias Oliveira,olelias,1,Negativo,,,,,,,,,,,,,,,,
197,Wed Jan 04 20:48:46 +0000 2017,"@infomoney ""bando do Brasil"" é o partido do governador de MG.",,,Belo Horizonte,O Lambari da Bolsa,lambari_trader,0,Negativo,,,,,,,,,,,,,,,,
200,Thu Jan 05 02:35:32 +0000 2017,"@jairbolsonaro Por favor nos ajude a Pizza Pimentel aqui em MG é o maior cabide de empregos do meu estado, minha mãe coitada nem cheiro 13 s",,,"Belo Horizonte, Brasil",Breno Castilho Xavie,BrenoCXavier,1,Negativo,,,,,,,,,,,,,,,,
204,Thu Jan 05 17:47:55 +0000 2017,"@joaoleiteBH isso  joão, contamos com vcs pra derrotar esses bandidos q estão no poder, lugar de bandido é na cadeia, n no governo de MG",,,,Nizetti Soares,nizetticardoso,0,Negativo,,,,,,,,,,,,,,,,
207,Wed Jan 04 23:45:01 +0000 2017,@jornal_cultura governo federal com cartão de crédito...governo de MG passeando e comprando helicópteros. Até onde?,,,São Paulo - Brasil,Marcelo Percival,marcelopercival,0,Negativo,,,,,,,,,,,,,,,,
208,Mon Jan 09 11:15:53 +0000 2017,"@jornaldacbn O @LFPezao  quando precisar dar um passeio, ele pode pedir emprestado o helicóptero emprestado do  Governador de MG.",,,Marilia SP.,Ricardo,Roncacci,0,Negativo,,,,,,,,,,,,,,,,
211,Thu Jan 05 11:21:47 +0000 2017,@kalkssabrina @AnaPaulaVolei E o Estado com as finanças no vermelho! E o resto da era PT acabando com MG.,,,Belo Horizonte - MG,Cristian Rocha,Cristianbhz,0,Negativo,,,,,,,,,,,,,,,,
216,Thu Jan 05 13:27:51 +0000 2017,@Leisparaquem @portalfab sinto muito. existem outras prioridades.  o governador de Minas precisa transportar seus pimpolhos,,,"porto alegre, rs brasil",feliz 2017,jairolog,0,Negativo,,,,,,,,,,,,,,,,
224,Mon Jan 09 23:53:44 +0000 2017,@macsanto777 @Acircamargo @KatiaAbreu Minas já sabe bem o que é ter um governador aspirador de pó... ���,,,"Belo Horizonte, Brasil",Vó Gertrudes,vohgertrudes,0,Negativo,,,,,,,,,,,,,,,,
227,Thu Jan 05 11:48:14 +0000 2017,@Mandah05 vc viu o Governador de Minas que foi buscar o filho de helicóptero do governo ? Isso é República!,,,"Salvador, Bahia",Ricardo Ramos,ricardoramosssa,0,Negativo,,,,,,,,,,,,,,,,
238,Thu Jan 05 15:48:36 +0000 2017,@MichelTemer https://t.co/6gfWgoWZfn Não tem que perdoar a divida se tem tanto dinheiro para helicoptero,,,,Debora Reis,deborareis_m,0,Negativo,,,,,,,,,,,,,,,,
239,Thu Jan 05 12:37:51 +0000 2017,@MidiaNINJA Apoia o governo corrupto do Fernando Pimentel em MG? Apóia que use helicóptero para buscar filho em balada?,,,"São Paulo, Brasil",Rê,LuttiLippe,0,Negativo,,,,,,,,,,,,,,,,
240,Thu Jan 05 12:38:43 +0000 2017,@MidiaNINJA Apoia que Pimentel ignore a falência do estado de MG e compre mais helicópteros pra passear! #ForaPimentelMG,,,"São Paulo, Brasil",Rê,LuttiLippe,0,Negativo,,,,,,,,,,,,,,,,
241,Fri Jan 06 14:04:45 +0000 2017,@MidiaNINJA E o governador de MG? Comprar helicópteros pode né? Basta ser petista! ��,,,"São Paulo, Brasil",Rê,LuttiLippe,0,Negativo,,,,,,,,,,,,,,,,
242,Thu Jan 05 13:31:02 +0000 2017,"@MiriamLeitaoCom @JornalOGlobo Não sabem nada .Nem se há crise mesmo nos Estados.Pelo jeito ,não. Em MG o governo esbanja.",,,Brasil,plin Tav,TavPlin,0,Negativo,,,,,,,,,,,,,,,,
249,Thu Jan 05 14:41:17 +0000 2017,@NiBarga  participou junto com a anta ( Dilmês ) de terrorismo no Brasil. hoje infelizmente o povo de Minas o elegeu Governador,,,,Nilson Braga,NiBarga,0,Negativo,,,,,,,,,,,,,,,,
250,Thu Jan 05 14:55:38 +0000 2017,"@NiBarga Agora aguentem, mas não podemos esquecer que ele declarou estado de emergência em Minas, e vejam a hipocrisia desse safado",,,,Nilson Braga,NiBarga,1,Negativo,,,,,,,,,,,,,,,,
251,Fri Jan 06 12:16:52 +0000 2017,"@NiBarga Aproximadamente R$ 1,5 bilhão para o pagamento de resgates dos depósitos judiciais sumiram das contas do g… https://t.co/Uzw2mQup3p",,,,Nilson Braga,NiBarga,0,Negativo,,,,,,,,,,,,,,,,
252,Thu Jan 05 14:41:06 +0000 2017,"@NiBarga crise que Minas Gerais enfrenta, e antes declarou estado de emergência em Minas Gerais, o cara é pilantra e comunista terrorista,",,,,Nilson Braga,NiBarga,0,Negativo,,,,,,,,,,,,,,,,
253,Thu Jan 05 14:49:35 +0000 2017,"@NiBarga que o RJ , fiquem espertos . Esse safado, já deveria estar fora do governo de Minas, mas graças ao covarde e safado do Teori do STF",,,,Nilson Braga,NiBarga,0,Negativo,,,,,,,,,,,,,,,,
254,Wed Jan 04 23:13:32 +0000 2017,"@o_antagonista presidente do Senado esnoba justiça, governador Minas passa mão em contas judiciais. A democracia dos heróis contra ditadura",,,Brasile,elias,evalmor,5,Negativo,,,,,,,,,,,,,,,,
259,Thu Jan 05 00:05:53 +0000 2017,@patomatti @JacAlochio deve ser por isso que o governo de Minas comprou 2 helicópteros.,,,"Belo Horizonte, Brasil",Guilherme Allocchio,alochio1963,0,Negativo,,,,,,,,,,,,,,,,
260,Sat Jan 07 01:23:48 +0000 2017,"@Paulimbh Pq minas tem produzido tanta merda na politica ultimamente?
Isso envergonha todo estado nao só o babaca que foi eleito.",,,"Entre o nada,e lugar nenhum!",Q.isso G.zuis !!,sergioferrarez,0,Negativo,,,,,,,,,,,,,,,,
263,Wed Jan 04 18:27:24 +0000 2017,@pimentelminas Vcs bebem o povo passando fome e vcs fazendo merda desta https://t.co/2jYlrluHAJ,,,,Debora Reis,deborareis_m,0,Negativo,,,,,,,,,,,,,,,,
264,Thu Jan 05 14:09:21 +0000 2017,"@pimentelminas:  ""Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros"" - https://t.co/r5JdewMsn7

 #AcordaMinas",,,São Paulo,Nelson Loia (Brasil),N_Loia,0,Negativo,,,,,,,,,,,,,,,,
265,Wed Jan 04 23:41:01 +0000 2017,"@prof_fabio666 Polícia indicia governador de MG, Fernando Pimentel do PT, por corrupção e mais três crimes https://t.co/aNrpDlhsDw",,,"iPhone: -23.591980,-46.649139",Lavoisier castro,_Lavoisier,0,Negativo,,,,,,,,,,,,,,,,
270,Fri Jan 06 17:33:16 +0000 2017,@Rede45  e vcs por terem escolhido uma múmia para concorrer ao governo de Minas na última eleição são co-responsáveis. #salarioem3x,,,,Silvia M,Silvianunesmati,0,Negativo,,,,,,,,,,,,,,,,
277,Fri Jan 06 12:04:30 +0000 2017,@SenadoFederal fora em MG que tem o licenciamento que é ilegal e o poder federal não age contra esse abuso do governo estadual,,,"Belo Horizonte, Brasil",Diego D. Dias,diegodayvison,0,Negativo,,,,,,,,,,,,,,,,
279,Thu Jan 05 13:34:00 +0000 2017,"@SeuRoberts @cesarmaia o governo de minas não relatou ao federal...
só dpois q deu merda...",,,brasil,gustavo oller,gustavooller,0,Negativo,,,,,,,,,,,,,,,,
281,Sat Jan 07 00:30:07 +0000 2017,"@spotniks @LeonardoGSaade Pergunta inocente:Afinal, quem ainda continua segurando esse pilantra no governo de mg?Palmares=stela+genuínoS/A?",,,,gringabrasileira,gringa_bras,0,Negativo,,,,,,,,,,,,,,,,
283,Wed Jan 04 22:59:50 +0000 2017,"@STF_oficial ningém faz nada? Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/NRaTVPbCxm via @VEJA.com",,,,Leila,leilacgc1,0,Negativo,,,,,,,,,,,,,,,,
285,Tue Jan 10 06:07:35 +0000 2017,"@ThadeuPenido @militanciadoPT Minas que estão legais: um governador que foi terrorista pronto pra ser preso, pena que o STF não deixa",,,"São Paulo, Brasil",Alexandre Gonçalves,SaoBlack,0,Negativo,,,,,,,,,,,,,,,,
286,Thu Jan 05 21:44:59 +0000 2017,"@ThassiaMAB_ @MarcJMor Ms afinal, quem ainda está segurando esse descendente de Palmares no governo de MG?Mesma turma d Stela,Genuíno?",,,,gringabrasileira,gringa_bras,0,Negativo,,,,,,,,,,,,,,,,
289,Sat Jan 07 18:05:20 +0000 2017,@TIAGOTRICOLOR33 @rosangela_bolze @Maurocr @lobaoeletrico Vs que pensam o PT ta quietinho porque aprontando já chega o governador de Minas,,,,Afonso Cavaleiro,CavaleiroAfonso,0,Negativo,,,,,,,,,,,,,,,,
290,Thu Jan 05 19:05:20 +0000 2017,@Trunfim o governador de MG é de esquerda ? Sério ?,,,São Paulo,Ivan Marques,Ivan2004,0,Negativo,,,,,,,,,,,,,,,,
291,Thu Jan 05 15:49:48 +0000 2017,@tvglobominas https://t.co/JuLVsKxmZZ ISSO É UM ABSURDO O DINHEIRO DEVE ESTAR SOBRANDO,,,,Debora Reis,deborareis_m,0,Negativo,,,,,,,,,,,,,,,,
294,Thu Jan 05 15:38:10 +0000 2017,@UOLNoticias @UOL agora o foco de todos os focos é o governo de minas que não por acaso é do PT,,,,Thiagolt,track213,0,Negativo,,,,,,,,,,,,,,,,
295,Thu Jan 05 09:57:42 +0000 2017,"@Vicente_Q_Filho @OnlyKetanAmr @c0nvey Esses R$ 21,8 Milhões NÃO poderiam ser INVESTIDOS na saúde e educação do Estado de MG !!!???",,,"São Paulo, Brasil",Antônio Queiroz,SouMoroMPFPF,1,Negativo,,,,,,,,,,,,,,,,
296,Thu Jan 05 19:32:15 +0000 2017,"@vivianeguissoni Quem será q ainda ""segura"" esse elemento como governador de Minas?Onde ele já deveria estar?Pq ainda está solto?",,,,gringabrasileira,gringa_bras,1,Negativo,,,,,,,,,,,,,,,,
299,Thu Jan 05 09:01:50 +0000 2017,"@xandalquadros @UOL Que absurdo, estado de MG quebrado.",,,BHZ,Edmilson Magalhães,Edmilsonmm,0,Negativo,,,,,,,,,,,,,,,,
320,Thu Jan 05 12:58:49 +0000 2017,"A @consjovemoabmg de Minas Gerais chamou de ""preocupante"" o fato de o estado ter esgotado os recursos relativos a depósitos judiciais.",,,"Florianópolis, Santa Catarina",Duh,Cris_duh_123,2,Negativo,,,,,,,,,,,,,,,,
322,Fri Jan 06 22:05:13 +0000 2017,"A balada de Pimentel - governador de MG atrasa salários, mas abusa de mordomias  https://t.co/j4onTU26lV …",,,Internet,Tomaz,josetomazfilho,5,Negativo,,,,,,,,,,,,,,,,
323,Sat Jan 07 02:11:28 +0000 2017,"A balada de Pimentel - governador de MG atrasa salários, mas abusa de mordomias https://t.co/eCuLoN4oft",,,,Bill Sprang,sprang_bill,0,Negativo,,,,,,,,,,,,,,,,
324,Sat Jan 07 02:10:56 +0000 2017,"A balada de Pimentel - governador de MG atrasa salários, mas abusa de mordomias https://t.co/LmQgjhjgAu",,,,Otto Plastino,braniac58,0,Negativo,,,,,,,,,,,,,,,,
325,Sat Jan 07 02:09:41 +0000 2017,"A balada de Pimentel - governador de MG atrasa salários, mas abusa de mordomias https://t.co/peh1a9vgsn",,,,Oswald Cobblepot,pinguim41,0,Negativo,,,,,,,,,,,,,,,,
326,Sat Jan 07 02:13:31 +0000 2017,"A balada de Pimentel - governador de MG atrasa salários, mas abusa de mordomias https://t.co/PxtihRZy9d",,,,Jack Kirby,darkseid70,0,Negativo,,,,,,,,,,,,,,,,
329,Thu Jan 05 14:52:27 +0000 2017,"A continuação da treta: o estado de MG foi ao STF contra o Banco, argumentando existência de manobra fiscal https://t.co/Ufxwk4iE78.",,,Belo Horizonte,Adrina,adrinapoubel,0,Negativo,,,,,,,,,,,,,,,,
332,Wed Jan 04 20:29:06 +0000 2017,"A FÓRMULA DO FRACASSO:
O governo PETISTA de FERNANDO PIMENTEL já está entre os PIORES da história do Estado de Mina… https://t.co/zgLYxQqyrD",,,Canadá,J Barbosa,JBarbosa2014,29,Negativo,,,,,,,,,,,,,,,,
334,Wed Jan 04 21:16:15 +0000 2017,A inconsequência de quem governa MInas Gerais hoje: https://t.co/uMc8fPon6D,,,"Minas Gerais, Brasil",Uther Pendragon,utherpendragon3,0,Negativo,,,,,,,,,,,,,,,,
337,Sun Jan 08 14:46:07 +0000 2017,A pressão e marcação cerrada da Polícia Militar de MG contra o governo Pimentel (PT) merece uma investigação: https://t.co/ahGblMpXTm,,,Brasil,Sturt Silva,SturtSilva,5,Negativo,,,,,,,,,,,,,,,,
349,Wed Jan 04 20:42:42 +0000 2017,"Absurdo. Um verdadeiro assalto aos cofres do Judiciário. Proximo alvo ja to vendo:os cofres da previdencia.
https://t.co/VTJdfwVhtf",,,"Recife, Brasil",Joao Carlos online,joaocarlos_real,0,Negativo,,,,,,,,,,,,,,,,
354,Fri Jan 06 17:33:18 +0000 2017,Ações na Justiça cobram devassa nos voos do governador de Minas Gerais - https://t.co/DacWymeMLi https://t.co/SKNCdBacUr,,,,paraibaonline,paraiba_online,0,Negativo,,,,,,,,,,,,,,,,
355,Fri Jan 06 02:17:26 +0000 2017,Ações na Justiça cobram devassa nos voos do governador de Minas Gerais - https://t.co/EwldsHKyp2 https://t.co/2Z8BHEuj5r,,,,paraibaonline,paraiba_online,1,Negativo,,,,,,,,,,,,,,,,
356,Fri Jan 06 03:45:58 +0000 2017,Ações na Justiça cobram devassa nos voos do governador de Minas Gerais https://t.co/cBrq7Q64ED,,,"Desterro, Brasil",aParaíba,aparaibaoficial,0,Negativo,,,,,,,,,,,,,,,,
357,Wed Jan 04 20:32:05 +0000 2017,"Acronimo Pimentel
BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/FfqAz4hZVt https://t.co/4DbFvAZw6F",,,Brasil,Ary ANTI PT,Ary_AntiPT,0,Negativo,,,,,,,,,,,,,,,,
360,Sun Jan 08 16:41:26 +0000 2017,Adicionei um vídeo a uma playlist @YouTube https://t.co/HZaUZd3kgh de MG_ busca filho em Festa com helicóptero do Governo,,,Pingo D´água MG,Marcelo Dias Braga,marcelobraga3,0,Negativo,,,,,,,,,,,,,,,,
363,Thu Jan 05 16:40:22 +0000 2017,Aécio Governador de Minas Gerais (PSDB) utilizou 123 vezes o avião com o $ do povo para fazer FESTAS no RJ.... https://t.co/iu255pe9rq,,,Brasil,EdsonLeonardoPilatti,edson_pilatti,0,Negativo,,,,,,,,,,,,,,,,
364,Thu Jan 05 16:41:20 +0000 2017,Aécio Governador de Minas Gerais (PSDB) utilizou 123 vezes o avião com o $ do povo para fazer FESTAS no RJ.... https://t.co/lFK8MqmA4W,,,Brasil,EdsonLeonardoPilatti,edson_pilatti,0,Negativo,,,,,,,,,,,,,,,,
366,Wed Jan 04 20:43:50 +0000 2017,"Afastar presidente do TC/RO é facil. Quero ver é processar, julgar e condenar o réu e governador de minas... https://t.co/rJaQ5SbZmx",,,Belo Horizonte,Renato Alves,rralves,0,Negativo,,,,,,,,,,,,,,,,
371,Wed Jan 04 21:39:04 +0000 2017,Agora pode buscar 3! Minas merece! Votou em PeTralhas p presidente e governador! Ia dar nisso.... https://t.co/0qR6qoCX43,,,"Belo Horizonte, Brasil",Antonio Bueno,a_bueno06,0,Negativo,,,,,,,,,,,,,,,,
375,Wed Jan 04 23:35:47 +0000 2017,Ainda tem gente que diz desconhecer o que é o Petralhismo! Pobre estado de Minas! Nao merece isso! https://t.co/HQDylpjQHZ,,,Brazil,Rogerio Lima,rogeriolima1976,0,Negativo,,,,,,,,,,,,,,,,
381,Tue Jan 10 04:00:23 +0000 2017,Alexandre de Moraes é um escroto. Atribuiu ao governo do PT essas merdas nos presídios. Escroto fdp. Só isso.,,,"Recife, Brazil",matheus,mg_urg,0,Negativo,,,,,,,,,,,,,,,,
382,Fri Jan 06 18:14:46 +0000 2017,Alexandre Garcia facções em manaus e helicóptero usado pelo governador de minas: https://t.co/M8W7bDgNBE via @YouTube,,,,andre luiz ferreira,andre123kayky01,0,Negativo,,,,,,,,,,,,,,,,
383,Thu Jan 05 03:19:31 +0000 2017,"Alguma dúvida de que esse governo tem que ser afastado 
B Brasil cobra de Minas R$ 1,5 bilhão em depósitos judiciais https://t.co/rhbxXUeG7l",,,Minas Gerais,Márcio Moreira,MarcJMor,2,Negativo,,,,,,,,,,,,,,,,
385,Wed Jan 04 19:37:48 +0000 2017,"Aliás, o governador de Minas, o petista Fernando Pimentel, prometeu que nunca mais voltará a utilizar aquele... https://t.co/cFZB81Co9V",,,Brasilia,Alexandre Marino,AlexandreMarino,0,Negativo,,,,,,,,,,,,,,,,
386,Sat Jan 07 23:29:48 +0000 2017,"Alo @MichelTemer , aqui em minas governador petralha comprou 2 helicopteros, cobra dele explicações, faz ele devolve los",,,,Nizetti Soares,nizetticardoso,2,Negativo,,,,,,,,,,,,,,,,
397,Mon Jan 09 10:10:23 +0000 2017,Anel e metrô de BH não terão investimentos em 2017 - Politica - Estado de Minas https://t.co/d6U2NPoIt7,,,Belo Horizonte MG Brasil,Ricardo Carlini,carlinibh,2,Negativo,,,,,,,,,,,,,,,,
398,Mon Jan 09 10:21:23 +0000 2017,Anel e metrô de BH não terão investimentos em 2017 - Politica - Estado de Minas https://t.co/Qx993J2Syu,,,Brazil,Fernanda Penna,nandapenna,0,Negativo,,,,,,,,,,,,,,,,
416,Wed Jan 04 19:07:30 +0000 2017,"Após ser autorizado a usar depósitos judiciais, Governo de MG utiliza todo o dinheiro e não… https://t.co/tlH87lZPrj https://t.co/byEO9gON6n",,,Rio Branco - Acre,ContilNet,ContilNet,0,Negativo,,,,,,,,,,,,,,,,
417,Thu Jan 05 03:16:40 +0000 2017,"Aproximadamente R$ 1,5 bilhão para o pagamento de resgates dos depósitos judiciais sumiram das contas do governo de Minas Gerais.",,,,Loira Reaça,Uma_Brasileira,6,Negativo,,,,,,,,,,,,,,,,
418,Sat Jan 07 23:26:44 +0000 2017,"Aqui em MG, tem ex governador condenado há mais de 20 anos de prisão, se fosse um PAÍS, onde ele estaria?",,,,Luizcarlosc737@gmail,Luizcarlosc7372,0,Negativo,,,,,,,,,,,,,,,,
420,Wed Jan 04 20:44:29 +0000 2017,Arroz de terceira!     BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/SZtiWxZtKt,,,,Vem Pra Rua,vemprarua,6,Negativo,,,,,,,,,,,,,,,,
428,Wed Jan 04 18:49:59 +0000 2017,"Assim são os gov PT O povo? Rale-se
Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/74REkWU6Vf via @VEJA.com",,,,Mara Kramer,MarKramer,1,Negativo,,,,,,,,,,,,,,,,
